"","DROPDOWN KOTA/KAB ALAMAT KTP dan ASAL PENGCAB","","","DROPDOWN KELAHIRAN","","","No","Handball/Umum","Kelompok Status","Nama Profesi","Sumber","","","","","","","","","",""
"","Kab. / Kota","Provinsi","","Kab. / Kota","Provinsi","","1","Handball","ABTI Official","Independent Observer","Anti-Doping Rules (14 Feb 2025), Art. 5.7","","","","","","","","","",""
"","","","","","","","2","Handball","ABTI Official","Multiplier","Coaching Education Regulations (12 Agu 2023), Art. 4 (Multiplier Licence)","","","","","","","","","",""
"1","Kab. Aceh Barat","Aceh","","Aceh Barat","Aceh","","3","Handball","ABTI Official","Lecturers","Coaching Education Regulations (12 Agu 2023), Art. 6","","","","","","","","","",""
"2","Kab. Aceh Barat Daya","Aceh","","Aceh Barat Daya","Aceh","","4","Handball","ABTI Official","Doping Official","List of Duties (Sep 2007), appendix (Anti-doping)","","","","","","","","","",""
"3","Kab. Aceh Besar","Aceh","","Aceh Besar","Aceh","","5","Handball","ABTI Official","Co-worker","List of Duties (Sep 2007), point 2.1","","","","","","","","","",""
"4","Kab. Aceh Jaya","Aceh","","Aceh Jaya","Aceh","","6","Handball","ABTI Official","Chairman of Competition Management","List of Duties (Sep 2007), point 3.6","","","","","","","","","",""
"5","Kab. Aceh Selatan","Aceh","","Aceh Selatan","Aceh","","7","Handball","ABTI Official","Event Delegate","Regulasi Kompetisi IHF (21 Agu 2024), I.1.5","","","","","","","","","",""
"6","Kab. Aceh Singkil","Aceh","","Aceh Singkil","Aceh","","8","Handball","ABTI Official","Fitness Coach","Regulasi Kompetisi IHF (21 Agu 2024), I.1.5","","","","","","","","","",""
"7","Kab. Aceh Tamiang","Aceh","","Aceh Tamiang","Aceh","","9","Handball","ABTI Official","Inspection Delegates","Regulasi Kompetisi IHF (21 Agu 2024), I.1.5","","","","","","","","","",""
"8","Kab. Aceh Tengah","Aceh","","Aceh Tengah","Aceh","","10","Handball","ABTI Official","Match Analysts","Regulasi Kompetisi IHF (21 Agu 2024), I.1.5","","","","","","","","","",""
